Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Plectolyngbya sp. WJT66-NPBG17],Plectolyngbya sp. WJT66-NPBG17,144,144,96%,1e-39,48.10,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW4444404.1?report=genbank&log$=prottop&blast_rank=97&RID=SJKFDJXZ016"",""MBW4444404.1"")"
hypothetical protein CLU92_0933 [Janthinobacterium sp. 61],Janthinobacterium sp. 61,144,144,91%,1e-39,47.68,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PKV43618.1?report=genbank&log$=prottop&blast_rank=98&RID=SJKFDJXZ016"",""PKV43618.1"")"
hypothetical protein DY943_13635 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,144,144,91%,1e-39,49.66,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RTS53372.1?report=genbank&log$=prottop&blast_rank=99&RID=SJKFDJXZ016"",""RTS53372.1"")"
HNH endonuclease [Burkholderia phage BcepMigl],Burkholderia phage BcepMigl,144,144,88%,1e-39,47.02,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_007236760.1?report=genbank&log$=prottop&blast_rank=100&RID=SJKFDJXZ016"",""YP_007236760.1"")"



		


